label	sampleid	d	arrival	iforderpv_24h	decisionhabit_user	historyvisit_7ordernum	historyvisit_totalordernum	hotelcr	ordercanceledprecent	landhalfhours	ordercanncelednum	commentnums	starprefer	novoters	consuming_capacity	historyvisit_avghotelnum	cancelrate	historyvisit_visit_detailpagenum	delta_price1	price_sensitive	hoteluv	businessrate_pre	ordernum_oneyear	cr_pre	avgprice	lowestprice	firstorder_bu	customereval_pre2	delta_price2	commentnums_pre	customer_value_profit	commentnums_pre2	cancelrate_pre	novoters_pre2	novoters_pre	ctrip_profits	deltaprice_pre2_t1	lowestprice_pre	uv_pre	uv_pre2	lowestprice_pre2	lasthtlordergap	businessrate_pre2	cityuvs	cityorders	lastpvgap	cr	sid	visitnum_oneyear	h
1	45697	2016-05-21	2016-05-21	1	NULL	NULL	NULL	1.02	NULL	30	NULL	9	NULL	24	NULL	NULL	43	23	NULL	NULL	10.753	0.17	NULL	1.09	NULL	118.0	NULL	2.0	NULL	2063	NULL	661.0	0.4	942.0	2712	NULL	2.0	167.0	50.66	17.238	155.0	NULL	0.37	3.587	0.793	5240	NULL	15	512	5
1	45698	2016-05-21	2016-05-21	1	7.0	NULL	7	1.04	0.43	1	3	679	68.0	1138	34.0	11.0	622	NULL	65.0	39.0	58.173	NULL	7	1.08	314.0	100.0	11.0	3.4	90.0	NULL	1.317	868.0	0.35	1119.0	88	1.313	1.0	249.0	37.747	76.56	224.0	68416	0.27	5.747	1.073	14391	1.33	78	906	14
0	45699	2016-05-21	2016-05-22	1	NULL	NULL	4	1.02	0.5	0	2	NULL	60.0	1	38.0	NULL	1	NULL	257.0	0.0	0.273	NULL	4	1.05	355.0	37.0	13.0	1.5	240.0	12	-0.027	149.0	0.68	284.0	24	-0.027	0.0	98.0	2.92	3.933	115.0	64876	0.62	0.82	0.12	50479	1.0	61	1430	18
0	45701	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.01	NULL	0	NULL	249	NULL	346	NULL	NULL	117	62	NULL	NULL	30.52	0.02	NULL	1.01	NULL	176.0	NULL	3.0	NULL	253	NULL	212.0	0.28	335.0	401	NULL	NULL	209.0	50.453	48.169	235.0	NULL	0.02	0.473	0.06	NULL	NULL	68	NULL	1
0	45702	2016-05-21	2016-05-21	1	1.0	NULL	3	1.04	0.33	6	1	2264	70.0	3215	55.0	2.3	1373	19	-483.0	28.0	164.88	0.3	3	1.03	654.0	454.0	12.0	3.5	59.0	113	0.682	1758.0	0.22	2346.0	267	0.767	-48.0	1137.0	143.287	136.374	595.0	43954	0.35	19.513	3.993	9139	1.0	75	397	1
0	45703	2016-05-21	2016-05-26	1	NULL	NULL	NULL	1.07	NULL	1	NULL	233	NULL	642	NULL	NULL	238	NULL	NULL	NULL	14.6	0.48	NULL	1.12	NULL	139.0	NULL	2.9	NULL	519	NULL	615.0	0.35	1352.0	1735	NULL	1.0	113.0	20.253	34.518	226.0	NULL	0.49	0.18	0.013	NULL	NULL	85	NULL	17
0	45704	2016-05-21	2016-05-23	0	2.0	1	4	1.03	0.48	0	118	920	86.7	1095	100.0	1.5	374	2	1247.0	100.0	60.907	0.04	4	1.02	1686.0	309.0	12.0	5.0	1318.0	170	4.749	438.0	0.29	694.0	414	5.307	0.0	439.0	100.4	83.153	369.0	123974	0.05	0.3	0.04	10705	1.14	147	1382	23
1	45707	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.08	NULL	0	NULL	588	NULL	940	NULL	NULL	406	NULL	NULL	NULL	26.487	0.37	NULL	1.08	NULL	235.0	12.0	2.5	NULL	612	NULL	612.0	0.2	1002.0	1002	0.267	-54.0	128.0	39.62	39.62	128.0	NULL	0.37	5.747	1.073	165513	NULL	97	140	10
0	45713	2016-05-21	2016-06-18	0	1.0	NULL	NULL	1.05	NULL	0	NULL	244	NULL	424	NULL	1.0	160	NULL	NULL	NULL	9.933	NULL	NULL	1.01	NULL	188.0	5.0	1.5	NULL	31	NULL	31.0	0.4	51.0	51	3.36	NULL	188.0	8.533	8.533	188.0	NULL	NULL	0.02	NULL	7316	1.0	123	1962	17
0	45715	2016-05-21	2016-06-09	0	2.0	NULL	NULL	1.02	NULL	0	NULL	81	NULL	135	NULL	1.5	74	NULL	NULL	NULL	15.707	0.1	NULL	1.05	NULL	199.0	NULL	4.0	NULL	544	NULL	544.0	0.29	887.0	887	NULL	NULL	338.0	14.067	14.067	338.0	NULL	0.1	0.027	0.007	4857	1.0	124	171	9
0	45716	2016-05-21	2016-05-21	0	3.0	7	4	1.0	0.97	1	87	NULL	100.0	NULL	40.0	3.0	NULL	97	143.0	7.0	0.107	NULL	4	1.03	402.0	240.0	13.0	0.0	136.0	17	0.415	9.0	0.5	10.0	18	0.413	0.0	259.0	0.473	0.276	267.0	1707	NULL	NULL	NULL	799	1.33	65	1869	18
0	45718	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.02	NULL	0	NULL	512	NULL	682	NULL	NULL	313	NULL	NULL	NULL	65.813	0.03	NULL	1.02	NULL	268.0	NULL	3.0	NULL	2319	NULL	1206.0	0.18	1399.0	3706	NULL	NULL	269.0	237.767	140.008	263.0	NULL	0.02	4.833	0.473	NULL	NULL	7	NULL	11
0	45719	2016-05-21	2016-05-21	0	1.0	NULL	1	1.01	0.0	0	0	2	100.0	10	35.0	1.3	5	NULL	175.0	0.0	0.593	NULL	1	1.1	358.0	138.0	13.0	2.2	223.0	37	0.319	70.0	0.2	102.0	58	0.313	2.0	183.0	2.207	1.894	135.0	230869	0.63	0.007	NULL	12325	1.0	53	178	8
1	45721	2016-05-21	2016-05-22	1	NULL	NULL	NULL	1.05	NULL	0	NULL	1039	NULL	1616	NULL	NULL	518	NULL	NULL	NULL	49.947	NULL	NULL	1.09	NULL	528.0	8.0	5.2	NULL	NULL	NULL	470.0	0.39	486.0	226	NULL	10.0	433.0	88.087	87.417	508.0	NULL	0.39	2.393	0.387	NULL	NULL	317	NULL	13
0	45722	2016-05-21	2016-05-21	0	2.0	NULL	4	1.02	0.5	5	2	266	93.3	334	80.0	3.6	133	9	196.0	100.0	30.893	0.68	4	1.1	774.0	765.0	13.0	4.8	219.0	1609	2.144	842.0	0.28	1263.0	2352	1.707	14.0	578.0	58.6	66.238	556.0	30377	0.66	17.22	3.4	976	1.03	736	3418	2
0	45724	2016-05-21	2016-05-23	0	1.0	NULL	NULL	1.04	NULL	1	NULL	6236	NULL	8254	NULL	1.0	4030	NULL	NULL	NULL	456.953	0.37	NULL	1.06	NULL	966.0	NULL	4.7	NULL	15376	NULL	8550.0	0.36	11719.0	20693	NULL	-33.0	419.0	808.1	488.902	523.0	NULL	0.34	7.52	0.933	9317	1.0	36	221	23
0	45725	2016-05-21	2016-06-08	0	2.0	NULL	4	1.01	0.75	0	3	322	40.0	279	18.0	4.0	39	1	-358.0	0.0	22.167	0.15	4	1.06	187.0	572.0	12.0	4.5	-358.0	546	0.452	546.0	0.19	755.0	755	0.793	NULL	545.0	57.393	57.393	545.0	40366	0.15	0.56	0.087	112	1.2	104	965	16
1	45726	2016-05-21	2016-05-28	1	NULL	NULL	NULL	1.02	0.0	18	0	710	60.0	987	30.0	NULL	308	NULL	-32.0	19.0	82.487	0.11	2	1.01	303.0	592.0	13.0	2.4	14.0	275	0.449	326.0	0.18	451.0	415	0.447	2.0	334.0	70.747	95.101	288.0	144242	0.08	3.6	0.313	86471	NULL	32	938	10
0	45727	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.06	NULL	38	NULL	NULL	NULL	2	NULL	NULL	10	2	NULL	NULL	0.727	NULL	NULL	1.01	NULL	98.0	NULL	1.6	NULL	4	NULL	48.0	0.5	69.0	8	NULL	13.0	392.0	16.953	10.04	325.0	NULL	0.02	1.9	0.273	15003	NULL	57	55	17
0	45728	2016-05-21	2016-05-21	0	4.0	NULL	1	1.14	0.0	8	0	497	80.0	773	32.0	4.0	615	1	249.0	10.0	17.073	0.46	1	1.11	329.0	378.0	13.0	2.7	141.0	315	0.14	716.0	0.34	809.0	381	0.14	-7.0	80.0	13.167	31.862	188.0	135884	0.43	16.14	3.62	13313	1.0	90	4488	21
0	45730	2016-05-21	2016-05-21	1	NULL	NULL	1	1.03	0.0	38	0	1703	40.0	2485	19.0	NULL	1281	6	71.0	100.0	140.987	0.58	1	1.04	199.0	130.0	13.0	2.1	-22.0	501	0.059	1955.0	0.3	2835.0	949	0.053	21.0	128.0	34.827	110.83	221.0	105738	0.49	53.133	11.567	105738	2.0	9	30	14
0	45732	2016-05-21	2016-05-22	0	3.0	NULL	NULL	1.0	NULL	0	NULL	6	NULL	9	NULL	3.0	14	3	NULL	NULL	15.747	NULL	NULL	1.02	NULL	274.0	NULL	1.5	NULL	19	NULL	48.0	0.15	70.0	30	NULL	9.0	157.0	12.673	17.332	194.0	NULL	0.06	5.487	1.213	902	1.0	96	330	11
0	45733	2016-05-21	2016-05-21	0	1.0	NULL	1	1.05	0.0	0	0	105	60.0	248	12.0	1.0	606	NULL	10.0	0.0	67.313	0.35	1	1.1	128.0	130.0	13.0	2.0	10.0	1151	0.015	1151.0	0.31	1699.0	1699	0.133	5.0	118.0	18.567	18.567	118.0	59452	0.35	4.247	1.073	1987	1.2	16	1126	13
0	45735	2016-05-21	2016-05-21	0	2.0	NULL	NULL	1.12	NULL	0	NULL	999	NULL	1605	NULL	1.5	1397	2	NULL	NULL	51.027	0.61	NULL	1.12	NULL	111.0	12.0	4.5	NULL	1227	NULL	1343.0	0.22	1842.0	1663	NULL	35.0	398.0	33.94	30.303	403.0	NULL	0.66	0.433	0.127	409	1.0	140	960	10
0	45736	2016-05-21	2016-05-21	0	6.0	NULL	NULL	1.07	NULL	0	NULL	NULL	NULL	1	NULL	4.8	6	55	NULL	NULL	0.18	NULL	NULL	1.07	NULL	88.0	NULL	0.0	NULL	NULL	NULL	NULL	0.5	1.0	1	NULL	1.0	88.0	0.18	0.222	82.0	NULL	NULL	NULL	NULL	2072	1.0	78	1718	17
0	45737	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.09	0.74	37	139	6	87.5	9	39.0	NULL	40	NULL	31.0	52.0	1.433	NULL	16	1.11	381.0	156.0	13.0	2.9	17.0	79	1.785	774.0	0.37	678.0	265	1.693	3.0	350.0	26.313	30.099	364.0	7646	0.36	8.38	1.827	292	NULL	44	838	15
0	45744	2016-05-21	2016-05-22	0	NULL	NULL	NULL	1.14	NULL	0	NULL	1842	NULL	2600	NULL	NULL	1381	NULL	NULL	NULL	33.6	0.43	NULL	1.07	NULL	268.0	NULL	4.5	NULL	1674	NULL	1674.0	0.22	2376.0	2376	NULL	60.0	489.0	93.68	93.68	489.0	NULL	0.43	0.653	0.093	14488	NULL	3	31	0
0	45745	2016-05-21	2016-06-01	1	NULL	NULL	NULL	1.02	NULL	3	NULL	233	NULL	406	NULL	NULL	885	NULL	NULL	NULL	236.927	0.04	NULL	1.01	NULL	130.0	12.0	5.0	NULL	2089	NULL	3183.0	0.12	4551.0	3161	NULL	NULL	568.0	1081.507	676.982	537.0	NULL	0.06	2.273	0.147	1917	NULL	10	105	23
0	45746	2016-05-21	2016-06-14	0	NULL	NULL	NULL	1.02	NULL	0	NULL	39	NULL	1230	NULL	NULL	1400	NULL	NULL	NULL	282.62	0.01	NULL	1.01	NULL	365.0	NULL	3.1	NULL	1544	NULL	1482.0	0.3	1737.0	1484	NULL	NULL	223.0	307.46	240.224	148.0	NULL	0.07	0.527	0.08	3552	NULL	1	366	15
0	45750	2016-05-21	2016-06-17	0	NULL	NULL	NULL	1.02	NULL	44	NULL	824	NULL	1558	NULL	NULL	1575	3	NULL	NULL	467.667	0.13	NULL	1.02	NULL	168.0	NULL	4.5	NULL	1880	NULL	2878.0	0.12	3842.0	2817	NULL	NULL	438.0	1232.213	1087.158	380.0	NULL	0.14	0.893	0.007	NULL	NULL	43	NULL	11
0	45751	2016-05-21	2016-05-29	1	NULL	NULL	NULL	1.0	NULL	48	NULL	127	NULL	184	NULL	NULL	1	5	NULL	NULL	1.727	0.33	NULL	1.11	NULL	195.0	NULL	1.7	NULL	1735	NULL	1084.0	0.34	1449.0	2664	NULL	-3.0	168.0	21.773	43.229	144.0	NULL	0.28	0.653	0.12	NULL	NULL	7	NULL	23
1	45752	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.01	NULL	2	NULL	237	NULL	299	NULL	NULL	55	4	NULL	NULL	25.6	0.04	NULL	1.01	NULL	88.0	NULL	2.5	NULL	400	NULL	397.0	0.13	532.0	434	NULL	0.0	167.0	39.927	71.625	256.0	NULL	0.03	1.147	0.147	NULL	NULL	1	NULL	0
1	45753	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.02	NULL	0	NULL	1	NULL	NULL	NULL	NULL	14	NULL	NULL	NULL	1.993	NULL	NULL	1.0	NULL	128.0	NULL	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	218.0	1.973	1.973	218.0	NULL	NULL	53.133	11.567	NULL	NULL	1	NULL	8
0	45754	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.0	NULL	0	NULL	NULL	NULL	2	NULL	NULL	6	NULL	NULL	NULL	17.133	NULL	NULL	1.01	NULL	138.0	NULL	2.9	NULL	18	NULL	376.0	0.25	500.0	58	NULL	11.0	280.0	81.067	61.758	181.0	NULL	0.02	10.74	0.813	NULL	NULL	1	NULL	10
0	45756	2016-05-21	2016-05-28	0	NULL	NULL	NULL	1.13	NULL	0	NULL	403	NULL	900	NULL	NULL	211	NULL	NULL	NULL	5.407	NULL	NULL	1.12	NULL	98.0	NULL	3.5	NULL	NULL	NULL	NULL	0.29	79.0	79	NULL	0.0	169.0	8.533	8.533	169.0	NULL	NULL	0.26	0.04	NULL	NULL	1	NULL	17
0	45759	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.04	NULL	0	NULL	378	NULL	667	NULL	NULL	168	NULL	NULL	NULL	21.493	0.43	NULL	1.09	NULL	188.0	NULL	3.6	NULL	3889	NULL	4072.0	0.27	4746.0	5001	NULL	-15.0	348.0	97.633	86.976	274.0	NULL	0.47	6.187	1.173	NULL	NULL	2	NULL	17
0	45760	2016-05-21	2016-05-21	0	3.0	NULL	9	1.02	0.22	23	2	508	75.2	760	49.0	4.8	355	22	-76.0	24.0	81.56	0.58	9	1.09	528.0	838.0	13.0	3.7	42.0	8860	4.904	3344.0	0.27	4988.0	12630	5.127	25.0	604.0	334.767	158.488	486.0	27650	0.54	53.133	11.567	3518	1.26	156	1385	0
0	45761	2016-05-21	2016-05-26	0	2.0	NULL	9	1.04	0.01	0	2	2100	80.0	2734	46.0	2.0	2150	28	-150.0	10.0	262.04	0.03	9	1.04	380.0	376.0	NULL	4.5	-446.0	4052	2.31	2842.0	0.37	4249.0	6823	2.387	5.0	530.0	334.773	245.009	826.0	69967	0.09	0.427	0.06	67	1.14	341	2690	16
0	45762	2016-05-21	2016-05-23	1	18.0	NULL	NULL	1.03	NULL	25	NULL	42	NULL	123	NULL	16.7	308	10	NULL	NULL	38.513	0.05	NULL	1.04	NULL	1108.0	5.0	4.5	NULL	291	NULL	259.0	0.64	380.0	383	4.267	31.0	127.0	34.207	53.319	356.0	NULL	0.15	0.613	0.073	2958	1.0	40	2346	6
0	45763	2016-05-21	2016-05-22	0	NULL	NULL	NULL	1.14	0.02	NULL	5	41	55.0	54	28.0	NULL	197	NULL	NULL	100.0	5.513	NULL	16	NULL	263.0	197.0	12.0	NULL	NULL	NULL	2.601	NULL	NULL	NULL	NULL	2.78	NULL	NULL	NULL	NULL	NULL	51260	NULL	0.093	0.013	1440	NULL	1	5446603	23
0	45765	2016-05-21	2016-05-21	0	2.0	NULL	5	1.04	0.4	7	2	112	86.7	269	74.0	1.5	83	NULL	676.0	31.0	11.487	NULL	5	1.02	738.0	169.0	5.0	2.2	575.0	13	3.698	910.0	0.89	1610.0	18	4.84	-4.0	62.0	12.527	20.533	163.0	37941	0.6	17.22	3.4	158	1.0	294	2074	16
0	45766	2016-05-21	2016-06-09	0	2.0	NULL	NULL	1.01	NULL	0	NULL	27	60.0	93	25.0	2.0	446	NULL	-1199.0	0.0	133.22	NULL	NULL	1.01	901.0	1090.0	NULL	4.3	-544.0	NULL	3.935	4052.0	0.21	3430.0	37	6.467	NULL	2100.0	139.613	237.193	1445.0	NULL	0.03	0.693	0.033	26655	1.0	24	351	21
0	45767	2016-05-21	2016-06-03	0	NULL	NULL	NULL	1.08	0.0	0	0	76	100.0	104	100.0	NULL	84	NULL	958.0	41.0	4.707	0.18	1	1.1	1323.0	305.0	13.0	5.0	958.0	445	0.647	445.0	0.45	632.0	632	2.047	NULL	365.0	9.113	9.113	365.0	47751	0.18	NULL	NULL	4597	NULL	48	7723	12
1	45769	2016-05-21	2016-05-21	1	NULL	1	18	1.12	0.01	47	4	1066	85.3	1655	37.0	NULL	1053	32	223.0	22.0	30.68	0.51	18	1.07	363.0	492.0	NULL	2.5	129.0	370	7.009	519.0	0.5	665.0	623	20.113	10.0	140.0	54.58	32.703	234.0	84283	0.61	54.067	11.607	36290	1.54	15	996	16
0	45771	2016-05-21	2016-06-05	0	NULL	NULL	NULL	1.02	0.01	0	1	4161	84.2	5833	93.0	NULL	4922	NULL	535.0	39.0	940.34	0.09	12	1.03	981.0	778.0	NULL	5.0	400.0	2553	6.659	3214.0	0.19	4203.0	3939	-0.182	NULL	446.0	382.787	509.053	581.0	216179	0.07	1.88	0.2	472	NULL	261	7544	20
0	45772	2016-05-21	2016-06-10	0	NULL	NULL	NULL	1.13	NULL	48	NULL	41	NULL	101	NULL	NULL	212	NULL	NULL	NULL	9.14	NULL	NULL	1.03	NULL	238.0	NULL	2.8	NULL	58	NULL	431.0	0.35	626.0	55	-0.2	NULL	398.0	3.813	16.681	586.0	NULL	0.26	0.04	NULL	23291	NULL	26	215	20
0	45773	2016-05-21	2016-05-28	1	NULL	NULL	1	1.06	0.0	2	0	NULL	40.0	6	12.0	NULL	4	NULL	40.0	8.0	0.113	NULL	1	1.0	128.0	75.0	NULL	0.3	5.0	1	0.27	57.0	1.0	84.0	2	0.27	0.0	88.0	0.167	4.381	123.0	517164	0.13	0.94	0.193	130477	NULL	45	404	15
1	45774	2016-05-21	2016-05-23	0	NULL	NULL	NULL	1.0	NULL	0	NULL	17	NULL	22	NULL	NULL	1	NULL	NULL	NULL	1.167	NULL	NULL	1.1	NULL	91.0	NULL	1.3	NULL	15	NULL	8.0	0.56	29.0	24	NULL	19.0	107.0	0.547	0.88	88.0	NULL	NULL	0.06	0.02	120155	NULL	138	25	13
0	45777	2016-05-21	2016-06-02	0	NULL	NULL	NULL	1.06	NULL	2	NULL	4605	NULL	5743	NULL	NULL	2038	NULL	NULL	NULL	144.68	0.47	NULL	1.04	NULL	419.0	NULL	4.1	NULL	976	NULL	2415.0	0.41	3386.0	1322	NULL	NULL	441.0	159.893	195.85	407.0	NULL	0.52	0.413	0.033	81060	NULL	193	111	16
0	45778	2016-05-21	2016-05-24	0	NULL	NULL	NULL	1.03	NULL	19	NULL	4708	NULL	5965	NULL	NULL	2987	NULL	NULL	NULL	323.613	0.26	NULL	1.03	NULL	337.0	NULL	4.3	NULL	2796	NULL	7856.0	0.09	10956.0	3782	NULL	27.0	180.0	251.9	595.469	224.0	NULL	0.21	4.907	0.78	35041	NULL	705	10	21
0	45780	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.03	NULL	0	NULL	97	NULL	146	NULL	NULL	149	NULL	NULL	NULL	16.087	0.1	NULL	1.04	NULL	69.0	NULL	1.5	NULL	87	NULL	134.0	0.33	237.0	165	NULL	0.0	101.0	19.767	12.469	88.0	NULL	0.14	16.14	3.62	NULL	NULL	3	NULL	2
1	45782	2016-05-21	2016-05-21	1	NULL	NULL	NULL	1.03	NULL	5	NULL	3597	NULL	5422	NULL	NULL	2706	NULL	NULL	NULL	387.187	0.04	NULL	1.03	NULL	399.0	NULL	3.9	NULL	656	NULL	1808.0	0.16	2785.0	1267	NULL	5.0	421.0	291.693	308.279	322.0	NULL	0.05	13.673	2.287	NULL	NULL	22	NULL	12
0	45784	2016-05-21	2016-05-21	1	NULL	NULL	NULL	1.12	NULL	3	NULL	2392	NULL	3845	NULL	NULL	853	NULL	NULL	NULL	33.093	0.53	NULL	1.07	NULL	398.0	NULL	3.8	NULL	2134	NULL	1543.0	0.22	2378.0	3581	NULL	17.0	389.0	83.127	46.071	281.0	NULL	0.6	6.187	1.173	NULL	NULL	34	NULL	16
0	45785	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.05	NULL	0	NULL	NULL	NULL	2	NULL	NULL	8	NULL	NULL	NULL	0.713	0.41	NULL	1.14	NULL	49.0	NULL	1.8	NULL	243	NULL	163.0	0.33	257.0	383	NULL	0.0	127.0	5.087	3.491	114.0	NULL	0.41	2.727	0.353	NULL	NULL	5	NULL	15
0	45786	2016-05-21	2016-05-21	1	NULL	NULL	NULL	1.1	NULL	13	NULL	96	NULL	264	NULL	NULL	277	NULL	NULL	NULL	7.8	NULL	NULL	1.06	NULL	90.0	NULL	3.1	NULL	NULL	NULL	1712.0	0.38	2104.0	3	NULL	1.0	68.0	0.96	75.882	240.0	NULL	0.51	17.14	3.6	NULL	NULL	1	NULL	6
0	45787	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.03	NULL	0	NULL	34	NULL	65	NULL	NULL	68	NULL	NULL	NULL	11.12	0.09	NULL	1.03	NULL	300.0	NULL	3.3	NULL	3902	NULL	3902.0	0.18	5142.0	5142	NULL	0.0	990.0	201.147	134.109	726.0	NULL	0.09	2.22	0.207	NULL	NULL	8	NULL	19
0	45788	2016-05-21	2016-05-23	0	NULL	NULL	NULL	1.16	NULL	0	NULL	609	NULL	1064	NULL	NULL	1060	NULL	NULL	NULL	30.307	0.06	NULL	1.04	NULL	85.0	NULL	1.8	NULL	374	NULL	204.0	0.28	351.0	587	NULL	6.0	100.0	14.0	53.56	114.0	NULL	0.06	1.64	0.133	NULL	NULL	1	NULL	20
0	45790	2016-05-21	2016-05-28	1	NULL	NULL	NULL	1.06	NULL	2	NULL	686	NULL	1046	NULL	NULL	448	NULL	NULL	NULL	30.673	0.65	NULL	1.08	NULL	374.0	NULL	4.3	NULL	2137	NULL	2640.0	0.27	3997.0	3390	NULL	24.0	339.0	70.033	89.524	323.0	NULL	0.62	1.093	0.193	NULL	NULL	3	NULL	23
0	45791	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.05	NULL	44	NULL	5	NULL	41	NULL	NULL	42	NULL	NULL	NULL	2.573	0.38	NULL	1.05	NULL	63.0	NULL	1.8	NULL	160	NULL	163.0	0.35	365.0	388	NULL	1.0	60.0	25.08	25.152	73.0	NULL	0.39	17.14	3.6	NULL	NULL	2	NULL	23
0	45794	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.06	0.0	41	0	931	85.0	1349	33.0	NULL	1235	NULL	73.0	0.0	104.627	0.65	1	1.03	372.0	150.0	3.0	4.2	-190.0	3206	2.986	2528.0	0.37	3225.0	3713	3.5	3.0	299.0	180.907	233.645	563.0	486849	0.51	53.133	11.567	27566	NULL	85	429	20
0	45801	2016-05-21	2016-05-25	0	1.0	NULL	2	1.06	0.0	9	0	776	90.0	1080	70.0	2.5	441	30	513.0	26.0	29.807	0.46	2	1.1	701.0	678.0	13.0	4.1	393.0	171	0.541	386.0	0.25	604.0	357	NULL	21.0	188.0	24.213	21.225	307.0	26777	0.48	NULL	NULL	322	1.1	222	1602	13
0	45803	2016-05-21	2016-06-13	0	1.0	NULL	9	1.02	0.67	0	6	NULL	40.0	NULL	9.0	1.0	4	NULL	9.0	1.0	0.333	NULL	9	1.01	101.0	85.0	12.0	0.0	-2.0	25	-0.139	21.0	0.44	36.0	41	1.087	NULL	92.0	0.513	0.598	103.0	383162	NULL	0.16	0.013	13486	1.0	7	2020	0
0	45806	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.16	NULL	0	NULL	5092	40.0	7372	13.0	NULL	2328	NULL	-59.0	0.0	70.12	0.69	NULL	1.15	139.0	288.0	12.0	3.2	-44.0	3901	NULL	2757.0	0.21	4286.0	6373	0.0	8.0	198.0	52.293	40.11	183.0	NULL	0.69	1.38	0.32	2005	NULL	2	10	20
1	45807	2016-05-21	2016-05-21	0	NULL	NULL	NULL	1.18	0.01	0	2	800	66.7	1609	24.0	NULL	525	NULL	-25.0	33.0	11.96	0.8	5	1.1	233.0	167.0	13.0	2.7	39.0	724	0.239	447.0	0.12	658.0	1080	0.0	14.0	258.0	32.04	11.706	193.0	373098	0.82	1.293	0.3	79862	NULL	14	403	17
1	45808	2016-05-21	2016-05-21	0	2.0	NULL	25	1.07	0.41	7	963	539	78.5	936	30.0	4.9	874	27	60.0	19.0	48.787	0.65	25	1.16	340.0	198.0	13.0	4.3	117.0	2970	1.221	2608.0	0.26	3415.0	3645	2.373	9.0	280.0	49.633	43.251	223.0	9172	0.62	1.38	0.32	882	1.1	257	2900	12
1	45809	2016-05-21	2016-05-21	0	1.0	NULL	2	1.08	1.0	0	428	31	NULL	61	NULL	1.0	179	6	NULL	NULL	8.173	NULL	2	1.02	NULL	198.0	NULL	0.5	NULL	NULL	NULL	227.0	1.0	149.0	5	NULL	0.0	168.0	0.887	3.26	132.0	310554	0.57	0.813	0.127	8743	1.0	191	179	16
0	45813	2016-05-21	2016-06-03	0	5.0	NULL	3	1.05	0.0	1	0	2550	93.3	3628	66.0	6.4	1266	15	-205.0	7.0	103.553	NULL	3	1.03	670.0	574.0	5.0	4.9	47.0	1	0.908	1545.0	0.36	2295.0	54	0.907	NULL	875.0	62.76	124.987	623.0	87963	0.37	0.427	0.033	14579	1.0	26	1674	22
1	45815	2016-05-21	2016-05-21	0	2.0	2	5	1.04	0.2	3	1	679	86.7	1138	44.0	2.0	622	12	323.0	38.0	58.173	0.27	5	1.15	430.0	100.0	NULL	2.0	329.0	212	1.63	634.0	0.53	998.0	525	1.713	0.0	107.0	11.067	28.835	101.0	6102	0.29	5.747	1.073	5215	1.33	12	164	15
1	45816	2016-05-21	2016-05-22	0	NULL	NULL	NULL	1.06	NULL	0	NULL	6	80.0	8	16.0	NULL	21	NULL	-28.0	0.0	1.207	NULL	NULL	1.06	160.0	188.0	NULL	2.5	-3.0	6	0.159	34.0	0.62	45.0	8	0.627	0.0	188.0	1.207	1.327	163.0	NULL	NULL	NULL	NULL	33649	1.0	67	671	7
1	45817	2016-05-21	2016-06-11	1	NULL	NULL	NULL	1.04	0.13	3	1	930	57.1	1219	26.0	NULL	974	NULL	15.0	65.0	87.42	0.47	8	1.07	255.0	112.0	3.0	2.9	-52.0	1110	0.704	483.0	0.39	898.0	2446	0.353	NULL	240.0	129.013	46.45	308.0	41990	0.39	0.227	0.033	32286	NULL	39	1626	1
1	45818	2016-05-21	2016-05-21	1	1.0	NULL	4	1.11	0.25	2	1	1859	40.0	2174	15.0	1.0	1212	NULL	-19.0	14.0	45.933	NULL	4	1.12	160.0	239.0	NULL	3.1	16.0	NULL	0.305	801.0	0.41	724.0	131	0.8	8.0	179.0	21.34	15.65	144.0	40490	0.43	0.487	0.087	19562	1.0	16	84	5
0	45821	2016-05-21	2016-05-24	0	1.0	NULL	29	1.09	0.2	24	426	2858	89.7	4564	50.0	1.0	2156	6	-276.0	14.0	89.34	0.63	29	1.08	508.0	661.0	NULL	3.9	10.0	3165	8.44	2189.0	0.21	3010.0	4067	20.333	42.0	784.0	128.233	112.11	499.0	31756	0.6	3.527	0.633	3153	1.38	362	1634	10
